"";"Institut";"Auftraggeber";"Befragte";"Datum";"Var.5";"CSU";"SPD";"GRÜNE";"FDP";"LINKE";"FW";"AfD";"Sonstige"
"2";"Landtagswahl am 14.10.2018 (vorl.)";"Landtagswahl am 14.10.2018 (vorl.)";"Landtagswahl am 14.10.2018 (vorl.)";"Landtagswahl am 14.10.2018 (vorl.)";NA;"37,2 %";"9,7 %";"17,5 %";"5,1 %";"3,2 %";"11,6 %";"10,2 %";"5,4 %"
"3";"Forschungs-gruppe Wahlen";"ZDF";"T • 1.07510.10.–11.10.";"11.10.2018";NA;"34 %";"12 %";"19 %";"5,5 %";"4 %";"10 %";"10 %";"5,5 %"
"4";"INSA";"BILD";"TOM • 1.70702.10.–08.10.";"09.10.2018";NA;"33 %";"10 %";"18 %";"5,5 %";"4,5 %";"11 %";"14 %";"4 %"
"5";"Forschungs-gruppe Wahlen";"ZDF";"T • 1.12201.10.–04.10.";"05.10.2018";NA;"35 %";"12 %";"18 %";"5,5 %";"4,5 %";"10 %";"10 %";"5 %"
"6";"Infratestdimap";"ARD";"T • 1.00201.10.–02.10.";"04.10.2018";NA;"33 %";"11 %";"18 %";"6 %";"4,5 %";"11 %";"10 %";"6,5 %"
"7";"GMS";"Sat.1Bayern";"T • 1.00420.09.–26.09.";"27.09.2018";NA;"35 %";"13 %";"16 %";"5 %";"4 %";"10 %";"12 %";"5 %"
"8";"INSA";"BILD";"TOM • 1.06421.09.–25.09.";"26.09.2018";NA;"34 %";"11 %";"17 %";"6 %";"4 %";"10 %";"14 %";"4 %"
"9";"Forschungs-gruppe Wahlen";"ZDF";"T • 1.11417.09.–19.09.";"21.09.2018";NA;"35 %";"13 %";"18 %";"5 %";"4 %";"11 %";"10 %";"4 %"
"10";"Infratestdimap";"BayerischerRundfunk";"T • 1.00005.09.–10.09.";"12.09.2018";NA;"35 %";"11 %";"17 %";"5 %";"5 %";"11 %";"11 %";"5 %"
"11";"GMS";"Sat.1Bayern";"T • 1.00604.09.–10.09.";"10.09.2018";NA;"36 %";"12 %";"16 %";"6 %";"4 %";"7 %";"14 %";"5 %"
"12";"INSA";"BILD";"TOM • 1.03323.08.–27.08.";"28.08.2018";NA;"36 %";"13 %";"15 %";"6 %";"3 %";"8 %";"14 %";"5 %"
