"";"institut";"datum";"befragte";"zeitraum";"cdu.csu";"spd";"grüne";"fdp";"linke";"afd";"sonstige";"nw_un";"fw";"typ"
"1";"allensbach";2018-10-18;1259;"28.09.–11.10.";29;19;15;8,5;9;15;4,5;NA;NA;"keineangabe"
"2";"allensbach";2018-09-18;1258;"01.09.–13.09.";31,5;19,5;12,5;8,5;9;15;4;NA;NA;"keineangabe"
"3";"allensbach";2018-08-15;1295;"27.07.–09.08.";31;20;12,5;9;9;14,5;4;NA;NA;"keineangabe"
"4";"allensbach";2018-07-17;1295;"01.07.–12.07.";30,5;20;12;9,5;9;15;4;NA;NA;"keineangabe"
"5";"allensbach";2018-06-20;1279;"01.06.–13.06.";33;21;11;9,5;9,5;13;3;NA;NA;"keineangabe"
"6";"allensbach";2018-05-17;1253;"24.04.–08.05.";34;20;11;9;10;11,5;4,5;NA;NA;"keineangabe"
"7";"allensbach";2018-04-25;1279;"03.04.–17.04.";34;20,5;11;10;9;12;3,5;NA;NA;"keineangabe"
"8";"allensbach";2018-03-21;1256;"02.03.–15.03.";34;19;11;10;10;12,5;3,5;NA;NA;"keineangabe"
"9";"allensbach";2018-02-23;1271;"02.02.–15.02.";32;17,5;12;11;9,5;13;5;NA;NA;"keineangabe"
"10";"allensbach";2018-01-25;1221;"05.01.–18.01.";34;21;10,5;10;8,5;12;4;NA;NA;"keineangabe"
"11";"allensbach";2017-12-21;1443;"01.12.–14.12.";34;21;11,5;10;9;11;3,5;NA;NA;"keineangabe"
"12";"allensbach";2017-11-30;1299;"22.11.–27.11.";33;21,5;11;10;9;11;4,5;NA;NA;"keineangabe"
"13";"allensbach";2017-10-25;1454;"07.10.–19.10.";33;20,5;9,5;12;9;12;4;NA;NA;"keineangabe"
"14";"allensbach";2017-09-22;1074;"06.09.–14.09.";36;22;8;10,5;9,5;10;4;NA;NA;"keineangabe"
"15";"allensbach";2017-09-19;1083;"22.08.–31.08.";36,5;22;8;11;9;10;3,5;NA;NA;"keineangabe"
